model,f1_macro,acc,ci_lo,ci_hi
catboost,0.775107519443337,0.9834575774072057,0.7115859449564711,0.8673026896774373
random_forest,0.7289574771088674,0.9831465043161391,0.679697052354985,0.8093508315147727
xgboost,0.7020985089756405,0.9833686993811868,0.6665431913911091,0.8084677729894358
lightgbm,0.6818735803989945,0.9835908944462344,0.6735195499901133,0.7882523693198893
logistic_regression,0.6725334003609016,0.9675817400095544,0.6184504928663449,0.750709237618062
stacking,0.6579866156515425,0.9835908944462344,0.6400704198425364,0.760956447493103
mlp,0.6003178783516349,0.9807690171201298,0.593194707377178,0.6934166542240852
