rival,leader_only_right,rival_only_right,disagree,mcnemar_p,d_f1,d_ci_lo,d_ci_hi
random_forest,103,75,178,0.04269434685440968,0.04615004233446962,-0.0027646930976188,0.07570310058155608
xgboost,79,71,150,0.567775487675328,0.07300901046769648,0.006841198407979452,0.12618936096033953
lightgbm,26,38,64,0.16864291143970336,0.09323393904434252,0.004414223284096303,0.13709237000189
logistic_regression,1534,105,1639,0.0,0.10257411908243541,0.0533750965159088,0.14105347648461536
stacking,91,103,194,0.4297474950144781,0.11712090379179452,0.027311664561977023,0.1650994670587394
mlp,326,84,410,9.72736792616646e-35,0.17478964109170214,0.08963030676864481,0.2220146032831211
