model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_seconds,predict_seconds
lightgbm,0.9835908944462344,0.6708422075960766,0.7152043517194705,0.6708422075960766,0.6818735803989945,0.9780361313624474,0.9835908944462344,0.9792910151555294,46.27655059999961,5.143719200001215
stacking,0.9835908944462344,0.6385658145118638,0.6925853370436003,0.6385658145118638,0.6579866156515425,0.9737036577704901,0.9835908944462344,0.9783684472777426,267.38422609999543,2.7080812999920454
catboost,0.9834575774072057,0.7444349482170768,0.8495910216900687,0.7444349482170768,0.775107519443337,0.9779640179114089,0.9834575774072057,0.9792115364023021,1164.441925799998,0.17647380000562407
xgboost,0.9833686993811868,0.6786278000483328,0.7772806028420883,0.6786278000483328,0.7020985089756405,0.9786165698087289,0.9833686993811868,0.9795399417016716,72.75468929999624,0.6457809999992605
random_forest,0.9831465043161391,0.7053532545176522,0.7843278845771526,0.7053532545176522,0.7289574771088674,0.9779600648335054,0.9831465043161391,0.9791514023297274,100.71898099999817,1.7238841999933356
mlp,0.9807690171201298,0.5910315904303307,0.6297888115794957,0.5910315904303307,0.6003178783516349,0.9730069258903957,0.9807690171201298,0.9757525224414993,81.86421469999186,0.1663632999989204
logistic_regression,0.9675817400095544,0.633283394993507,0.7518172743690771,0.633283394993507,0.6725334003609016,0.9597313496198719,0.9675817400095544,0.9614842898295588,63.96710249999887,0.017096600000513718
