rival,leader_only_right,rival_only_right,disagree,mcnemar_p,d_f1,d_ci_lo,d_ci_hi
mlp,220,50,270,1.3040904731750446e-26,0.010945628395778284,0.00628249546972621,0.017192781113005998
xgboost,79,97,176,0.19990936338335355,0.024075672611322818,-0.0477431605139408,0.07931982027967328
lightgbm,110,102,212,0.6307898865914232,0.025118819269372872,-0.04925657759074688,0.07931951780774757
random_forest,124,70,194,0.0001292798164731033,0.04446512620851206,-0.0037674921202371647,0.07283289883686409
logistic_regression,1505,93,1598,0.0,0.05520907522623775,0.0445675461031705,0.08001384026849091
stacking,65,104,169,0.0033446260486094544,0.06747025695790954,0.012232684664783217,0.10446543618539568
