model,f1_macro,acc,ci_lo,ci_hi
catboost,0.7277424755871393,0.9832687116019153,0.6802774283452917,0.8054208060834792
mlp,0.716796847191361,0.9813800535490107,0.6688324989523318,0.7943958651644054
xgboost,0.7036668029758165,0.9834686871604582,0.6681642067988911,0.8102416368182156
lightgbm,0.7026236563177665,0.9831798335758963,0.668222684337873,0.8055509149611727
random_forest,0.6832773493786273,0.9826687849262868,0.6767245152296402,0.7898568417556276
logistic_regression,0.6725334003609016,0.9675817400095544,0.6184504928663449,0.750709237618062
stacking,0.6602722186292298,0.9837019919787582,0.6421485296484849,0.7651580837442102
