model,accuracy,f1_macro,f1_weighted,recall_macro,precision_macro,bal_acc,mcc,binary_fpr,binary_recall,false_alarms_fp,missed_attacks_fn,train_s,predict_s,flows_per_sec,artifact_mb
catboost,0.9832687116019153,0.7277424755871393,0.97870318318646,0.7086451122170817,0.7808446425279031,0.7086451122170817,0.9444238864316606,0.0013107036338589522,0.9396404671302978,98,920,257.91365940000105,0.09077650000108406,991567.2007504705,2.609628
mlp,0.9813800535490107,0.716796847191361,0.97656143004183,0.6930511052866684,0.7790043697175392,0.6930511052866684,0.9380147224891376,0.0016316922788856343,0.9318987009578795,122,1038,100.3108140000113,0.06144269999640528,1464958.4084889842,0.210488
xgboost,0.9834686871604582,0.7036668029758165,0.9796347109927603,0.680647151757652,0.7773425706271184,0.680647151757652,0.9451193765835976,0.0016584413326378579,0.9431177010890959,124,867,88.1927912000101,0.7497092999983579,120061.20238897551,3.545352
lightgbm,0.9831798335758963,0.7026236563177665,0.979275466090253,0.6759606456828476,0.7806243779808812,0.6759606456828476,0.944135360684008,0.0015915686982572992,0.9422647946463719,119,880,36.53873879999446,3.597639800005709,25019.458590561837,6.295463
random_forest,0.9826687849262868,0.6832773493786273,0.9786048349034687,0.6723670828662673,0.7181202506812913,0.6723670828662673,0.9424324129677892,0.002046302612045099,0.9398372916940034,153,917,22.055888600007165,0.8783696000027703,102475.08565837902,30.04141
logistic_regression,0.9675817400095544,0.6725334003609016,0.9614842898295588,0.633283394993507,0.7518172743690771,0.633283394993507,0.8905493986535208,0.005443432438577486,0.8737042382889385,407,1925,59.30124140001135,0.010367800001404248,8681783.983854687,0.004477
stacking,0.9837019919787582,0.6602722186292298,0.9784875424856126,0.641362772774329,0.6929104820432866,0.641362772774329,0.94584685852054,0.00021399243001778812,0.9380658706206535,16,944,214.54576000000816,2.5884841999941273,34773.63315573038,14.201558
