model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_seconds,predict_seconds
stacking,0.9837019919787582,0.641362772774329,0.6929104820432866,0.641362772774329,0.6602722186292298,0.9738149244708936,0.9837019919787582,0.9784875424856126,214.54576000000816,2.5884841999941273
xgboost,0.9834686871604582,0.680647151757652,0.7773425706271184,0.680647151757652,0.7036668029758165,0.9785657823749798,0.9834686871604582,0.9796347109927603,88.1927912000101,0.7497092999983579
catboost,0.9832687116019153,0.7086451122170817,0.7808446425279031,0.7086451122170817,0.7277424755871393,0.9772889749570832,0.9832687116019153,0.97870318318646,257.91365940000105,0.09077650000108406
lightgbm,0.9831798335758963,0.6759606456828476,0.7806243779808812,0.6759606456828476,0.7026236563177665,0.9778811587037485,0.9831798335758963,0.979275466090253,36.53873879999446,3.597639800005709
random_forest,0.9826687849262868,0.6723670828662673,0.7181202506812913,0.6723670828662673,0.6832773493786273,0.9775667669921775,0.9826687849262868,0.9786048349034687,22.055888600007165,0.8783696000027703
mlp,0.9813800535490107,0.6930511052866684,0.7790043697175392,0.6930511052866684,0.716796847191361,0.9747109539030062,0.9813800535490107,0.97656143004183,100.3108140000113,0.06144269999640528
logistic_regression,0.9675817400095544,0.633283394993507,0.7518172743690771,0.633283394993507,0.6725334003609016,0.9597313496198719,0.9675817400095544,0.9614842898295588,59.30124140001135,0.010367800001404248
