,precision,recall,f1-score,support
BENIGN,0.994,0.9994,0.9967,1663.0
Bot,0.0,0.0,0.0,1.0
Brute Force,1.0,1.0,1.0,7.0
DDoS,1.0,1.0,1.0,102.0
DoS,0.9934,0.974,0.9836,154.0
PortScan,1.0,0.9306,0.964,72.0
Web Attack,1.0,1.0,1.0,2.0
accuracy,0.9945,0.9945,0.9945,0.9945
macro avg,0.8553,0.8434,0.8492,2001.0
weighted avg,0.994,0.9945,0.9942,2001.0
