model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_seconds,predict_seconds
stacking,0.9838888888888889,0.680616874478616,0.7202808106056164,0.680616874478616,0.6885772888072179,0.979881371448817,0.9838888888888889,0.9801394950994871,118.2363218999999,2.9144579999992857
xgboost,0.9837333333333333,0.6795671116002029,0.7149606568927475,0.6795671116002029,0.6854007519658787,0.9788335455324687,0.9837333333333333,0.9795350608459434,29.222866500000237,0.7557194000000891
lightgbm,0.9837222222222223,0.6797195045994957,0.7173753158364408,0.6797195045994957,0.6870131222214517,0.9793770077103049,0.9837222222222223,0.979853916527008,23.12029370000164,2.606665700001031
catboost,0.9835555555555555,0.6711973308643124,0.713241859194316,0.6711973308643124,0.676346100881173,0.977951178764309,0.9835555555555555,0.9784529633429995,12.890210500001558,0.07211019999886048
random_forest,0.9828444444444444,0.6850479358329876,0.7171497832910289,0.6850479358329876,0.6868732044753926,0.9786243663281029,0.9828444444444444,0.9786042329840028,20.41014770000038,0.8418483999994351
mlp,0.9816444444444444,0.6727486546007128,0.6742249567591629,0.6727486546007128,0.6698016152185886,0.9717997673317411,0.9816444444444444,0.9764452659555598,51.003424200000154,0.05834999999933643
logistic_regression,0.9650777777777778,0.6219875082251181,0.6598681218506464,0.6219875082251181,0.6296036187024677,0.9569497994689671,0.9650777777777778,0.9591751303793156,66.63723819999723,0.013679299998329952
