model,f1_macro,acc,ci_lo,ci_hi
stacking,0.6885772888072179,0.9838888888888889,0.6759122985980685,0.8034827816373887
lightgbm,0.6870131222214517,0.9837222222222223,0.6747321782808646,0.8020258934533688
random_forest,0.6868732044753926,0.9828444444444444,0.6762251378634668,0.800388075641446
xgboost,0.6854007519658787,0.9837333333333333,0.6727607683088975,0.8002616281415981
stacking_full,0.6816707690942699,0.9838555555555556,0.6673528779986301,0.7972426105161283
catboost,0.676346100881173,0.9835555555555555,0.6667959569501769,0.7877116899772915
mlp,0.6698016152185886,0.9816444444444444,0.6594405688093805,0.7807975478584992
logistic_regression,0.6296036187024677,0.9650777777777778,0.6167759002492709,0.7339380823877416
