model,accuracy,f1_macro,f1_weighted,recall_macro,precision_macro,bal_acc,mcc,binary_fpr,binary_recall,missed_attacks_fn,false_alarms_fp,train_s,predict_s,flows_per_sec,artifact_mb
stacking,0.9838888888888889,0.6885772888072179,0.9801394950994871,0.680616874478616,0.7202808106056164,0.680616874478616,0.9465279779797675,0.001350917553902948,0.94526122341822,834,101,189.86067940000066,3.0077037999981258,29923.15932175771,14.235646
lightgbm,0.9837222222222223,0.6870131222214517,0.979853916527008,0.6797195045994957,0.7173753158364408,0.6797195045994957,0.9459687821839614,0.0013910438178802633,0.9447361512207929,842,104,53.39442830000189,3.527119099999254,25516.57526960715,21.104525
random_forest,0.9828444444444444,0.6868732044753926,0.9786042329840028,0.6850479358329876,0.7171497832910289,0.6850479358329876,0.9430529062935648,0.0019929377775399926,0.9426358624310843,874,149,32.516257100000075,0.9477976000016497,94956.98237666285,29.0408
xgboost,0.9837333333333333,0.6854007519658787,0.9795350608459434,0.6795671116002029,0.7149606568927475,0.6795671116002029,0.945994710056887,0.001177037076667915,0.9435547387765818,860,88,46.741696900000534,1.148880000000645,78337.16315015448,17.750924
catboost,0.9835555555555555,0.676346100881173,0.9784529633429995,0.6711973308643124,0.713241859194316,0.6711973308643124,0.945375954406921,0.0006152693809855011,0.9400105014439486,914,46,23.316959700001462,0.11383019999993849,790651.3385731435,14.799887
mlp,0.9816444444444444,0.6698016152185886,0.9764452659555598,0.6727486546007128,0.6742249567591629,0.6727486546007128,0.9389114175207868,0.001284040447274089,0.9341034392228932,1004,96,112.10982759999752,0.06085459999667364,1478935.035394522,0.210601
logistic_regression,0.9650777777777778,0.6296036187024677,0.9591751303793156,0.6219875082251181,0.6598681218506464,0.6219875082251181,0.8822675848797935,0.008145631587395003,0.874507744814912,1912,609,50.89159409999775,0.01187230000141426,7580670.972707813,0.004466
