rival,leader_only_right,rival_only_right,disagree,mcnemar_p,d_f1,d_ci_lo,d_ci_hi
stacking_full,33,30,63,0.8013064925040663,0.006906519712947978,0.0007600476275743534,0.02086690297540387
lightgbm,61,46,107,0.17564027334488042,0.0015641665857661913,-2.550074278247213e-05,0.0033896512058220777
random_forest,149,55,204,3.341567941496215e-11,0.0017040843318253396,-0.011552975083136399,0.008617696098614526
xgboost,58,44,102,0.1977898630680834,0.003176536841339228,0.0013944684161356553,0.005184110532285003
catboost,117,87,204,0.0420513948287974,0.01223118792604494,-0.0008267176345992856,0.02156394081552223
mlp,326,124,450,5.2373652007160895e-22,0.018775673588629305,0.0020692971290602272,0.03641225814573002
logistic_regression,1824,131,1955,0.0,0.05897367010475019,0.04172022862103161,0.10610768370393157
