,precision,recall,f1-score,support
BENIGN,0.9928,0.9593,0.9757,621680.0
Bot,0.034,0.1607,0.0562,585.0
Brute Force,0.1078,0.9971,0.1946,2745.0
DDoS,0.9996,0.998,0.9988,38405.0
DoS,0.9972,0.9069,0.9499,58119.0
Heartbleed,1.0,1.0,1.0,4.0
Infiltration,0.0965,1.0,0.176,11.0
PortScan,0.9561,0.9975,0.9764,27209.0
Web Attack,0.7114,0.9471,0.8125,643.0
accuracy,0.9581,0.9581,0.9581,0.9581
macro avg,0.6551,0.8852,0.6822,749401.0
weighted avg,0.9879,0.9581,0.9712,749401.0
