,precision,recall,f1-score,support
BENIGN,0.9901,0.9998,0.9949,621680.0
Bot,0.687,0.1538,0.2514,585.0
Brute Force,0.9996,0.996,0.9978,2745.0
DDoS,0.9999,0.9991,0.9995,38405.0
DoS,0.9983,0.8891,0.9406,58119.0
Heartbleed,1.0,0.75,0.8571,4.0
Infiltration,1.0,1.0,1.0,11.0
PortScan,0.9713,0.9955,0.9832,27209.0
Web Attack,0.8166,0.9347,0.8716,643.0
accuracy,0.9903,0.9903,0.9903,0.9903
macro avg,0.9403,0.8576,0.8774,749401.0
weighted avg,0.9902,0.9903,0.9898,749401.0
