,precision,recall,f1-score,support
BENIGN,0.9967,0.9994,0.998,621680.0
Bot,0.2875,0.1607,0.2061,585.0
Brute Force,0.9982,0.9985,0.9984,2745.0
DDoS,0.9998,0.999,0.9994,38405.0
DoS,0.9975,0.9571,0.9769,58119.0
Heartbleed,1.0,1.0,1.0,4.0
Infiltration,0.9167,1.0,0.9565,11.0
PortScan,0.967,0.9976,0.9821,27209.0
Web Attack,0.7913,0.9611,0.868,643.0
accuracy,0.9953,0.9953,0.9953,0.9953
macro avg,0.8839,0.897,0.8873,749401.0
weighted avg,0.9951,0.9953,0.9952,749401.0
