,precision,recall,f1-score,support
BENIGN,0.9938,0.8307,0.9049,621680.0
Bot,0.0012,0.1573,0.0023,585.0
Brute Force,0.5735,0.9581,0.7175,2745.0
DDoS,0.958,0.9979,0.9776,38405.0
DoS,0.9671,0.7992,0.8751,58119.0
Heartbleed,0.4,1.0,0.5714,4.0
Infiltration,0.0008,0.8182,0.0015,11.0
PortScan,0.775,0.9941,0.871,27209.0
Web Attack,0.0499,0.9487,0.0948,643.0
accuracy,0.8428,0.8428,0.8428,0.8428
macro avg,0.5244,0.8338,0.5574,749401.0
weighted avg,0.9788,0.8428,0.903,749401.0
