,precision,recall,f1-score,support
BENIGN,0.8174,0.5325,0.6449,13846.0
Bot,0.9831,0.9769,0.98,11077.0
Brute Force,0.9959,0.9965,0.9962,11077.0
DDoS,0.9672,0.9998,0.9833,11077.0
DoS,0.9843,0.9899,0.9871,11077.0
Heartbleed,1.0,0.5,0.6667,2.0
Infiltration,0.5618,0.7787,0.6527,9536.0
PortScan,0.9934,0.9976,0.9955,22006.0
Web Attack,0.2984,0.9702,0.4564,302.0
accuracy,0.8994,0.8994,0.8994,0.8994
macro avg,0.8446,0.8602,0.8181,90000.0
weighted avg,0.913,0.8994,0.8991,90000.0
