,precision,recall,f1-score,support
BENIGN,0.8413,0.8415,0.8414,13846.0
Bot,0.9988,0.9987,0.9988,11077.0
Brute Force,0.9996,0.9991,0.9994,11077.0
DDoS,0.9981,0.9999,0.999,11077.0
DoS,0.9983,0.9988,0.9986,11077.0
Heartbleed,1.0,0.5,0.6667,2.0
Infiltration,0.7728,0.7707,0.7717,9536.0
PortScan,0.9998,0.9997,0.9997,22006.0
Web Attack,0.9579,0.9801,0.9689,302.0
accuracy,0.9507,0.9507,0.9507,0.9507
macro avg,0.9518,0.8987,0.916,90000.0
weighted avg,0.9507,0.9507,0.9507,90000.0
