,precision,recall,f1-score,support
BENIGN,0.8901,0.7513,0.8149,13846.0
Bot,0.9991,0.9989,0.999,11077.0
Brute Force,0.999,0.9996,0.9993,11077.0
DDoS,0.9981,0.9996,0.9989,11077.0
DoS,0.9951,0.9992,0.9972,11077.0
Heartbleed,0.5,1.0,0.6667,2.0
Infiltration,0.7112,0.8642,0.7802,9536.0
PortScan,0.9998,0.9989,0.9993,22006.0
Web Attack,0.8357,0.9934,0.9077,302.0
accuracy,0.9467,0.9467,0.9467,0.9467
macro avg,0.8809,0.9561,0.907,90000.0
weighted avg,0.9508,0.9467,0.9471,90000.0
