,precision,recall,f1-score,support
BENIGN,0.9045,0.6118,0.7299,13846.0
Bot,0.996,0.9991,0.9975,11077.0
Brute Force,0.9992,0.9969,0.9981,11077.0
DDoS,0.9961,0.9994,0.9977,11077.0
DoS,0.993,0.9989,0.9959,11077.0
Heartbleed,0.6667,1.0,0.8,2.0
Infiltration,0.629,0.8975,0.7397,9536.0
PortScan,0.998,0.999,0.9985,22006.0
Web Attack,0.5199,0.9934,0.6826,302.0
accuracy,0.9284,0.9284,0.9284,0.9284
macro avg,0.8558,0.944,0.8822,90000.0
weighted avg,0.942,0.9284,0.9281,90000.0
