model,previous_recall,new_recall,previous_false_negatives,new_false_negatives,false_negatives_reduced,reduction_pct,new_false_positives,new_fpr
random_forest,0.3222,0.4691151919866444,406,318,88,0.21674876847290642,1262,0.021245433578559285
xgboost,0.3556,0.44741235392320533,386,331,55,0.14248704663212436,1347,0.022676385919428967
lightgbm,0.2888,0.4590984974958264,426,324,102,0.23943661971830985,1858,0.031278934698069055
catboost,0.3689,0.48080133555926546,378,311,67,0.17724867724867724,1299,0.021868318715173144
mlp,0.3689,0.38397328881469117,378,369,9,0.023809523809523808,1852,0.03117792629753708
logistic_regression,0.207,0.2353923205342237,475,458,17,0.035789473684210524,3764,0.06336593660039393
stacking,0.3139,0.48247078464106846,411,310,101,0.24574209245742093,1242,0.020908738910119358
