,precision,recall,f1-score,support
BENIGN,0.9921,0.9883,0.9902,52355.0
Bot,1.0,0.9921,0.996,630.0
Brute Force,0.9977,0.9977,0.9977,444.0
DDoS,0.9923,0.9987,0.9955,3888.0
DoS,0.9882,0.9976,0.9929,1678.0
Heartbleed,1.0,0.6667,0.8,3.0
Infiltration,0.2819,0.3389,0.3078,599.0
PortScan,0.9923,0.9949,0.9936,390.0
Web Attack,0.2281,1.0,0.3714,13.0
accuracy,0.9829,0.9829,0.9829,0.9829
macro avg,0.8303,0.8861,0.8272,60000.0
weighted avg,0.9849,0.9829,0.9838,60000.0
