,precision,recall,f1-score,support
BENIGN,0.9903,0.9877,0.989,52355.0
Bot,0.9952,0.9921,0.9936,630.0
Brute Force,0.967,0.991,0.9789,444.0
DDoS,0.9796,0.999,0.9892,3888.0
DoS,0.9375,0.9917,0.9638,1678.0
Heartbleed,0.0,0.0,0.0,3.0
Infiltration,0.3503,0.2521,0.2932,599.0
PortScan,0.862,0.9128,0.8867,390.0
Web Attack,0.1053,0.9231,0.189,13.0
accuracy,0.9807,0.9807,0.9807,0.9807
macro avg,0.6875,0.7833,0.6981,60000.0
weighted avg,0.9805,0.9807,0.9804,60000.0
