model,high_recall_threshold,high_recall_fp,high_recall_fn,balanced_threshold,balanced_fp,balanced_fn,balanced_target_f1,balanced_accuracy,balanced_macro_f1,total_cross_errors_reduced
random_forest,0.8208185878401599,1262,318,0.9597281616373501,290,424,0.3289473684210526,0.9865,0.8590794458474553,866
xgboost,0.7980177998542786,1347,331,0.9055663347244263,337,444,0.28414298808432636,0.9863,0.8437247505179913,897
lightgbm,0.5741127662269085,1858,324,0.8936168069728858,311,428,0.31637372802960223,0.9867833333333333,0.831260327846075,1443
catboost,0.8292244663364957,1299,311,0.9186889146595139,454,384,0.3391167192429022,0.9846666666666667,0.8379591250208506,772
mlp,0.852039635181427,1852,369,0.963100790977478,355,431,0.2994652406417112,0.98015,0.698325354974222,1435
logistic_regression,0.6931774372192318,3764,458,0.7384804254386058,1413,502,0.09198672356567092,0.9366666666666666,0.7148229822456562,2307
stacking,0.9055575891641918,1242,310,0.948476931876526,489,384,0.3300076745970837,0.9847833333333333,0.7611714577532163,679
