,precision,recall,f1-score,support
BENIGN,0.9927,0.9878,0.9902,52355.0
Bot,1.0,0.9921,0.996,630.0
Brute Force,0.9977,0.9977,0.9977,444.0
DDoS,1.0,0.9992,0.9996,3888.0
DoS,0.9988,1.0,0.9994,1678.0
Heartbleed,0.0,0.0,0.0,3.0
Infiltration,0.2745,0.384,0.3201,599.0
PortScan,0.9949,0.9923,0.9936,390.0
Web Attack,0.3077,0.9231,0.4615,13.0
accuracy,0.983,0.983,0.983,0.983
macro avg,0.7296,0.8085,0.7509,60000.0
weighted avg,0.9861,0.983,0.9844,60000.0
